COUNTA of Off time ,ExperienceInCurrentDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,0,1,2,3,4,5,6,7,Grand Total,,,,,,,,,,,,,,,,,,,,,
Female,142,227,447,321,367,365,2,4,1875,,,,,,,,,,,,,,,,,,,,,
Male,213,331,640,465,564,554,6,5,2778,,,,,,,,,,,,,,,,,,,,,
Grand Total,355,558,1087,786,931,919,8,9,4653,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNT of Off time ,JoiningYear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department,2012,2013,2014,2015,2016,2017,2018,Grand Total,,,,,,,,,,,,,,,,,,,,,,
Finance,102,130,140,163,114,201,72,922,,,,,,,,,,,,,,,,,,,,,,
HR,91,121,141,153,112,227,61,906,,,,,,,,,,,,,,,,,,,,,,
IT,103,142,155,154,106,236,80,976,,,,,,,,,,,,,,,,,,,,,,
Marketing,110,135,120,162,101,217,77,922,,,,,,,,,,,,,,,,,,,,,,
Sales,98,141,143,149,92,227,77,927,,,,,,,,,,,,,,,,,,,,,,
Grand Total,504,669,699,781,525,1108,367,4653,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTA of Off time ,JoiningYear,Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,2013,,2014,,2015,,2016,,2017,,2018,,Grand Total,,,,,,,,,,,,,,,
Department,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,,,,,,,,,,,,,,,
Sales,45,53,56,85,48,95,78,71,23,69,95,132,20,57,927,,,,,,,,,,,,,,,
Grand Total,45,53,56,85,48,95,78,71,23,69,95,132,20,57,927,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTA of Off time ,PaymentTier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1,2,3,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelors,173,543,2885,3601,,,,,,,,,,,,,,,,,,,,,,,,,,
Masters,56,355,462,873,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,14,20,145,179,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,243,918,3492,4653,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentTier,COUNT of Off time ,,,,,City,COUNTA of Off time ,,,,,,,,,,,,,,,,,,,,,,,
1,5.22%,,,,,kanke,1157,,,,,,,,,,,,,,,,,,,,,,,
2,19.73%,,,,,Lalpur,1268,,,,,,,,,,,,,,,,,,,,,,,
3,75.05%,,,,,Ratu road ,2228,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,100.00%,,,,,Grand Total,4653,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTA of Off time ,Gender,,,,Education,COUNTA of Off time ,,,,,,,,,,,,,,,,,,,,,,,,
Education,Female,Male,Grand Total,,Bachelors,3601,,,COUNTA of Off time ,Age,,,,,,,,,,,,,,,,,,,,
Bachelors,1435,2166,3601,,Masters,873,,,Department,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,Grand Total
Masters,371,502,873,,PHD,179,,,Finance,7,6,75,74,127,127,119,55,47,24,23,29,25,17,27,39,23,32,34,12,922
PHD,69,110,179,,Grand Total,4653,,,HR,7,17,82,93,119,119,113,35,50,25,31,25,27,25,23,19,28,18,32,18,906
Grand Total,1875,2778,4653,,,,,,IT,15,10,78,80,135,136,132,45,37,28,23,28,40,34,33,29,25,30,26,12,976
,,,,,,,,,Marketing,9,5,69,74,135,133,141,45,40,31,28,22,22,24,24,18,32,33,21,16,922
,,,,,,,,,Sales,11,10,81,97,129,110,125,50,46,17,27,20,22,23,32,36,28,18,21,24,927
,,,,,,,,,Grand Total,49,48,385,418,645,625,630,230,220,125,132,124,136,123,139,141,136,131,134,82,4653
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COUNT of Off time ,JoiningYear,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age,2012,2013,2014,2015,2016,2017,2018,Grand Total,,,,,,,,,,,,,,,,,,,,,
,22,4,6,11,12,10,6,,49,,,,,,,,,,,,,,,,,,,,,
,23,5,7,8,8,4,12,4,48,,,,,,,,,,,,,,,,,,,,,
,24,34,57,54,56,43,104,37,385,,,,,,,,,,,,,,,,,,,,,
,25,39,66,71,70,37,101,34,418,,,,,,,,,,,,,,,,,,,,,
,26,73,111,90,96,75,148,52,645,,,,,,,,,,,,,,,,,,,,,
,27,80,100,87,89,72,152,45,625,,,,,,,,,,,,,,,,,,,,,
,28,60,80,102,131,65,150,42,630,,,,,,,,,,,,,,,,,,,,,
,29,24,22,41,46,32,46,19,230,,,,,,,,,,,,,,,,,,,,,
,30,22,42,30,34,22,54,16,220,,,,,,,,,,,,,,,,,,,,,
,31,16,17,15,22,15,32,8,125,,,,,,,,,,,,,,,,,,,,,
,32,17,21,16,29,14,21,14,132,,,,,,,,,,,,,,,,,,,,,
,33,14,12,22,16,18,33,9,124,,,,,,,,,,,,,,,,,,,,,
,34,13,12,24,22,16,36,13,136,,,,,,,,,,,,,,,,,,,,,
,35,15,21,15,20,5,35,12,123,,,,,,,,,,,,,,,,,,,,,
,36,19,16,23,25,14,30,12,139,,,,,,,,,,,,,,,,,,,,,
,37,14,24,23,17,25,29,9,141,,,,,,,,,,,,,,,,,,,,,
,38,17,14,21,27,14,31,12,136,,,,,,,,,,,,,,,,,,,,,
,39,15,15,24,31,15,22,9,131,,,,,,,,,,,,,,,,,,,,,
,40,13,13,16,22,17,38,15,134,,,,,,,,,,,,,,,,,,,,,
,41,10,13,6,8,12,28,5,82,,,,,,,,,,,,,,,,,,,,,
,Grand Total,504,669,699,781,525,1108,367,4653,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,COUNTA of Off time ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,4653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
